"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.099311382E1,6.507022924E1,2.542309313E1,2.255755843E1,1.409999967E0,7.900000000E1,3.790092468E0,2.500000000E0
8.199273497E1,6.507023043E1,2.542312497E1,2.285883128E1,1.350000024E0,8.250000000E1,3.790092468E0,2.500000000E0
8.299254216E1,6.507023126E1,2.542315589E1,2.255341472E1,1.399999976E0,8.230000305E1,3.790092468E0,2.500000000E0
8.399275492E1,6.507023186E1,2.542319010E1,2.246192686E1,1.399999976E0,8.090000153E1,3.790092468E0,2.500000000E0
8.499315393E1,6.507023258E1,2.542322448E1,2.297999709E1,1.409999967E0,8.090000153E1,3.790092468E0,2.500000000E0
8.599251106E1,6.507023343E1,2.542325723E1,2.291908757E1,1.440000057E0,7.790000153E1,3.790092468E0,2.500000000E0
8.699319309E1,6.507023431E1,2.542328703E1,2.335506489E1,1.379999995E0,7.819999695E1,3.790092468E0,2.500000000E0
8.799267814E1,6.507023393E1,2.542331755E1,2.317947057E1,1.450000048E0,8.830000305E1,3.790092468E0,2.500000000E0
8.899320174E1,6.507023532E1,2.542334818E1,2.314675881E1,1.440000057E0,8.130000305E1,3.790092468E0,2.500000000E0
8.999276085E1,6.507023517E1,2.542337950E1,2.344314935E1,1.480000019E0,8.469999695E1,3.790092468E0,2.500000000E0
9.099236820E1,6.507023603E1,2.542340931E1,2.302664865E1,1.389999986E0,8.319999695E1,3.790092468E0,2.500000000E0
9.199280257E1,6.507023654E1,2.542343842E1,2.315610749E1,1.370000005E0,8.069999695E1,3.790092468E0,2.500000000E0
9.299323851E1,6.507023785E1,2.542346866E1,2.287327365E1,1.429999948E0,7.740000153E1,3.790092468E0,2.500000000E0
9.399297075E1,6.507024045E1,2.542349751E1,2.284971645E1,1.399999976E0,7.609999847E1,3.790092468E0,2.500000000E0
9.499234585E1,6.507024246E1,2.542352754E1,2.327000729E1,1.389999986E0,7.650000000E1,3.790092468E0,2.500000000E0
9.599276413E1,6.507024277E1,2.542356058E1,2.316820448E1,1.450000048E0,8.180000305E1,3.790092468E0,2.500000000E0
9.699325460E1,6.507024519E1,2.542359021E1,2.283867821E1,1.399999976E0,7.890000153E1,3.790092468E0,2.500000000E0
9.799267700E1,6.507024631E1,2.542361820E1,2.265899360E1,1.409999967E0,8.250000000E1,3.790092468E0,2.500000000E0
9.899299694E1,6.507024909E1,2.542364802E1,2.265093936E1,1.379999995E0,7.959999847E1,3.790092468E0,2.500000000E0
9.999256486E1,6.507025050E1,2.542367783E1,2.272955563E1,1.360000014E0,8.290000153E1,3.790092468E0,2.500000000E0
1.009929478E2,6.507025261E1,2.542370985E1,2.279364549E1,1.480000019E0,8.390000153E1,3.790092468E0,2.500000000E0
1.019926464E2,6.507025399E1,2.542373865E1,2.273951018E1,1.350000024E0,8.159999847E1,3.790092468E0,2.500000000E0
1.029932525E2,6.507025508E1,2.542376894E1,2.307984539E1,1.419999957E0,8.350000000E1,3.790092468E0,2.500000000E0
1.039928664E2,6.507025573E1,2.542380277E1,2.300221245E1,1.389999986E0,8.390000153E1,3.790092468E0,2.500000000E0
1.049933026E2,6.507025810E1,2.542383704E1,2.304237670E1,1.399999976E0,8.119999695E1,3.790092468E0,2.500000000E0
1.059926937E2,6.507026123E1,2.542387440E1,2.312532665E1,1.460000038E0,8.109999847E1,3.790092468E0,2.500000000E0
1.069932329E2,6.507026451E1,2.542390793E1,2.361312226E1,1.350000024E0,7.900000000E1,3.790092468E0,2.500000000E0
1.079928170E2,6.507026740E1,2.542394310E1,2.405788845E1,1.389999986E0,8.000000000E1,3.790092468E0,2.500000000E0
1.089931620E2,6.507027053E1,2.542397972E1,2.407760588E1,1.450000048E0,7.950000000E1,3.790092468E0,2.500000000E0
1.099931058E2,6.507027255E1,2.542401400E1,2.442294606E1,1.389999986E0,7.959999847E1,3.790092468E0,2.500000000E0
1.109923608E2,6.507027538E1,2.542404590E1,2.442264352E1,1.419999957E0,8.300000000E1,3.790092468E0,2.500000000E0
1.119928357E2,6.507027746E1,2.542407830E1,2.418814947E1,1.379999995E0,7.969999695E1,3.790092468E0,2.500000000E0
1.129933676E2,6.507028063E1,2.542411081E1,2.453556415E1,1.409999967E0,7.930000305E1,3.790092468E0,2.500000000E0
1.139927994E2,6.507028310E1,2.542414359E1,2.432572817E1,1.340000033E0,8.019999695E1,3.790092468E0,2.500000000E0
1.149932831E2,6.507028543E1,2.542417197E1,2.459776429E1,1.159999967E0,8.080000305E1,3.790092468E0,2.500000000E0
1.159926649E2,6.507028878E1,2.542420084E1,2.404198022E1,1.289999962E0,7.359999847E1,3.790092468E0,2.500000000E0
1.169931278E2,6.507029115E1,2.542422994E1,2.416374785E1,1.240000010E0,7.790000153E1,3.790092468E0,2.500000000E0
1.179926092E2,6.507029238E1,2.542425895E1,2.382616537E1,1.370000005E0,7.959999847E1,3.790092468E0,2.500000000E0
1.189924007E2,6.507029285E1,2.542428751E1,2.358092933E1,1.169999957E0,8.380000305E1,3.790092468E0,2.500000000E0
1.199929628E2,6.507029471E1,2.542431852E1,2.365814175E1,1.340000033E0,8.550000000E1,3.790092468E0,2.500000000E0
1.209924431E2,6.507029666E1,2.542434635E1,2.391131810E1,1.269999981E0,8.159999847E1,3.790092468E0,2.500000000E0
1.219932488E2,6.507029970E1,2.542437689E1,2.402655486E1,1.360000014E0,7.830000305E1,3.790092468E0,2.500000000E0
1.229927494E2,6.507030208E1,2.542440772E1,2.408856928E1,1.419999957E0,7.940000153E1,3.790092468E0,2.500000000E0
1.239924076E2,6.507030427E1,2.542443627E1,2.396637940E1,1.350000024E0,7.919999695E1,3.790092468E0,2.500000000E0
1.249928861E2,6.507030616E1,2.542446678E1,2.386292768E1,1.419999957E0,8.059999847E1,3.790092468E0,2.500000000E0
1.259932817E2,6.507030589E1,2.542449625E1,2.387977703E1,1.299999952E0,8.209999847E1,3.790092468E0,2.500000000E0
1.269928623E2,6.507030604E1,2.542452599E1,2.416261745E1,1.389999986E0,8.430000305E1,3.790092468E0,2.500000000E0
1.279933241E2,6.507030774E1,2.542455398E1,2.397206833E1,1.320000052E0,7.700000000E1,3.790092468E0,2.500000000E0
1.289928350E2,6.507030854E1,2.542458431E1,2.381722545E1,1.379999995E0,8.290000153E1,3.790092468E0,2.500000000E0
1.299934054E2,6.507030987E1,2.542461907E1,2.402529790E1,1.429999948E0,8.340000153E1,3.790092468E0,2.500000000E0
1.309928117E2,6.507031414E1,2.542464583E1,2.371255519E1,1.360000014E0,7.930000305E1,3.790092468E0,2.500000000E0
1.319933941E2,6.507031800E1,2.542467428E1,2.366983237E1,1.480000019E0,8.140000153E1,3.790092468E0,2.500000000E0
1.329927539E2,6.507032048E1,2.542470757E1,2.354666638E1,1.399999976E0,7.909999847E1,3.790092468E0,2.500000000E0
1.339931495E2,6.507032058E1,2.542473917E1,2.343460958E1,1.360000014E0,8.280000305E1,3.790092468E0,2.500000000E0
1.349926799E2,6.507032058E1,2.542477226E1,2.348716482E1,1.509999990E0,8.100000000E1,3.790092468E0,2.500000000E0
1.359931249E2,6.507032268E1,2.542479800E1,2.327683988E1,1.370000005E0,8.240000153E1,3.790092468E0,2.500000000E0
1.369930487E2,6.507032563E1,2.542482472E1,2.361595318E1,1.399999976E0,7.919999695E1,3.790092468E0,2.500000000E0
1.379924631E2,6.507032822E1,2.542485075E1,2.358781801E1,1.490000010E0,8.080000305E1,3.790092468E0,2.500000000E0
1.389929560E2,6.507033073E1,2.542487263E1,2.334746314E1,1.389999986E0,8.030000305E1,3.790092468E0,2.500000000E0
1.399924065E2,6.507033237E1,2.542490210E1,2.343621111E1,1.490000010E0,7.959999847E1,3.790092468E0,2.500000000E0
1.409927923E2,6.507033419E1,2.542493195E1,2.350756402E1,1.429999948E0,8.290000153E1,3.790092468E0,2.500000000E0
1.419932417E2,6.507033639E1,2.542496482E1,2.364294302E1,1.409999967E0,8.059999847E1,3.790092468E0,2.500000000E0
1.429926433E2,6.507033994E1,2.542499923E1,2.366015758E1,1.509999990E0,8.000000000E1,3.790092468E0,2.500000000E0
1.439931738E2,6.507034229E1,2.542503282E1,2.369287547E1,1.460000038E0,8.000000000E1,3.790092468E0,2.500000000E0
1.449928337E2,6.507034479E1,2.542506278E1,2.352814413E1,1.409999967E0,8.059999847E1,3.790092468E0,2.500000000E0
1.459933654E2,6.507034732E1,2.542509371E1,2.360914044E1,1.500000000E0,7.740000153E1,3.790092468E0,2.500000000E0
1.469928416E2,6.507035061E1,2.542512140E1,2.344544610E1,1.370000005E0,7.269999695E1,3.790092468E0,2.500000000E0
1.479924258E2,6.507035588E1,2.542514482E1,2.369471428E1,1.370000005E0,6.480000305E1,3.790092468E0,2.500000000E0
1.489930042E2,6.507036188E1,2.542517012E1,2.340443161E1,1.429999948E0,6.229999924E1,3.790092468E0,2.500000000E0
1.499926148E2,6.507036835E1,2.542519282E1,2.283320360E1,1.379999995E0,5.340000153E1,3.790092468E0,2.500000000E0
1.509931743E2,6.507037808E1,2.542520986E1,2.271125334E1,1.379999995E0,3.840000153E1,3.790092468E0,2.500000000E0
1.519925078E2,6.507039098E1,2.542521475E1,2.191785254E1,1.440000057E0,2.320000076E1,3.790092468E0,2.500000000E0
1.529923171E2,6.507040362E1,2.542521340E1,2.153662151E1,1.309999943E0,1.430000019E1,3.790092468E0,2.500000000E0
1.539927992E2,6.507041744E1,2.542521182E1,2.125506037E1,1.470000029E0,1.010000038E1,3.790092468E0,2.500000000E0
1.549928159E2,6.507043163E1,2.542520888E1,2.125871620E1,1.450000048E0,7.000000000E0,3.790092468E0,2.500000000E0
1.559924563E2,6.507044598E1,2.542520147E1,2.100474203E1,1.500000000E0,1.799999952E0,3.790092468E0,2.500000000E0
1.569927434E2,6.507045858E1,2.542519100E1,2.048917155E1,1.399999976E0,3.587999878E2,3.790092468E0,2.500000000E0
1.579925451E2,6.507047018E1,2.542517769E1,2.026656989E1,1.309999943E0,3.522000122E2,3.790092468E0,2.500000000E0
1.589927076E2,6.507048303E1,2.542516604E1,2.009993715E1,1.360000014E0,3.518999939E2,3.790092468E0,2.500000000E0
1.599930114E2,6.507049535E1,2.542515771E1,2.005867123E1,1.320000052E0,3.532999878E2,3.790092468E0,2.500000000E0
1.609928888E2,6.507050860E1,2.542514861E1,1.992566900E1,1.409999967E0,3.522000122E2,3.790092468E0,2.500000000E0
1.619924116E2,6.507052154E1,2.542514024E1,1.977466161E1,1.389999986E0,3.512000122E2,3.790092468E0,2.500000000E0
1.629930796E2,6.507053391E1,2.542513450E1,1.972924560E1,1.289999962E0,3.547999878E2,3.790092468E0,2.500000000E0
1.639925237E2,6.507054680E1,2.542512930E1,1.958226693E1,1.389999986E0,3.550000000E2,3.790092468E0,2.500000000E0
1.649932033E2,6.507055913E1,2.542512400E1,1.952488810E1,1.320000052E0,3.526000061E2,3.790092468E0,2.500000000E0
1.659923998E2,6.507057331E1,2.542511628E1,1.934311855E1,1.379999995E0,3.535000000E2,3.790092468E0,2.500000000E0
1.669927808E2,6.507058697E1,2.542510850E1,1.927017490E1,1.330000043E0,3.522999878E2,3.790092468E0,2.500000000E0
1.679932062E2,6.507059968E1,2.542510220E1,1.944747596E1,1.340000033E0,3.517999878E2,3.790092468E0,2.500000000E0
1.689926579E2,6.507061264E1,2.542509714E1,1.921645187E1,1.299999952E0,3.526000061E2,3.790092468E0,2.500000000E0
1.699930882E2,6.507062536E1,2.542509047E1,1.896168501E1,1.309999943E0,3.542999878E2,3.790092468E0,2.500000000E0
1.709925022E2,6.507063819E1,2.542508076E1,1.902954958E1,1.330000043E0,3.533999939E2,3.790092468E0,2.500000000E0
1.719930261E2,6.507065120E1,2.542507086E1,1.876318553E1,1.279999971E0,3.533999939E2,3.790092468E0,2.500000000E0
1.729929855E2,6.507066458E1,2.542506451E1,1.870861375E1,1.340000033E0,3.588999939E2,3.790092468E0,2.500000000E0
1.739931760E2,6.507067834E1,2.542506443E1,1.881725056E1,1.289999962E0,5.900000095E0,3.790092468E0,2.500000000E0
1.749932107E2,6.507069285E1,2.542506688E1,1.870774773E1,1.399999976E0,2.500000000E0,3.790092468E0,2.500000000E0
1.759925342E2,6.507070556E1,2.542507078E1,1.886503048E1,1.250000000E0,6.800000191E0,3.790092468E0,2.500000000E0
1.769923275E2,6.507071771E1,2.542507678E1,1.890408863E1,1.309999943E0,1.169999981E1,3.790092468E0,2.500000000E0
1.779931962E2,6.507072849E1,2.542508830E1,1.875119244E1,1.259999990E0,2.470000076E1,3.790092468E0,2.500000000E0
1.789925965E2,6.507073794E1,2.542511205E1,1.886343500E1,1.379999995E0,4.470000076E1,3.790092468E0,2.500000000E0
1.799932297E2,6.507074214E1,2.542514161E1,1.926437674E1,1.120000005E0,5.690000153E1,3.790092468E0,2.500000000E0
1.809925856E2,6.507074587E1,2.542517426E1,2.001535567E1,1.269999981E0,7.159999847E1,3.790092468E0,2.500000000E0
1.819932137E2,6.507074568E1,2.542520817E1,2.061521335E1,1.110000014E0,8.819999695E1,3.790092468E0,2.500000000E0
1.829931144E2,6.507074489E1,2.542523757E1,2.085447503E1,9.700000286E-1,8.509999847E1,3.790092468E0,2.500000000E0
1.839926820E2,6.507074408E1,2.542527159E1,2.048131051E1,1.350000024E0,8.569999695E1,3.790092468E0,2.500000000E0
