"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.010140574E0,-3.979015350E-1,3.564550877E-1,8.739471436E-3
1.014933074E0,-5.276517868E-1,5.642178059E-1,9.899330139E-2
1.019725574E0,-5.924131870E-1,6.431202888E-1,2.474012375E-1
1.024518074E0,-4.191600084E-1,3.620510101E-1,2.371358871E-1
1.029310574E0,-3.152687550E-1,-3.221011162E-2,2.523250580E-1
1.034103126E0,-2.559299767E-1,-4.151084423E-1,2.641086578E-1
1.038895626E0,-2.215823382E-1,-7.195236683E-1,3.699007034E-1
1.043688126E0,-1.975803673E-1,-9.454441071E-1,3.880052567E-1
1.048480626E0,-1.885545254E-1,-1.066594362E0,3.161773682E-1
1.053273126E0,-1.659658551E-1,-1.016356468E0,8.788204193E-2
1.058065626E0,-1.167670637E-1,-8.692107201E-1,8.658409119E-3
1.062858126E0,-5.941526592E-2,-6.854650974E-1,5.654239655E-2
1.067650626E0,1.020353436E-1,-5.343472958E-1,6.185340881E-2
1.072443126E0,2.746511400E-1,-3.768527508E-1,-5.883693695E-2
1.077235626E0,4.042494893E-1,-1.614308357E-1,-3.055238724E-1
1.082028126E0,4.471776187E-1,3.005623817E-2,-6.259193420E-1
1.086820626E0,4.368948340E-1,1.416823864E-1,-9.534597397E-1
1.091613126E0,3.072214723E-1,2.435150146E-1,-1.305083275E0
1.096405626E0,-7.291277647E-1,2.701539993E-1,-1.893345833E0
1.101198126E0,-7.261835337E-1,9.269428253E-2,-2.305853367E0
1.105990678E0,-5.934406519E-1,3.983163834E-2,-2.512984753E0
1.110783126E0,-6.021021008E-1,6.849122047E-2,-2.565834045E0
1.115575678E0,-6.253714561E-1,7.462716103E-2,-2.605261803E0
1.120368178E0,-5.456325412E-1,-3.197908401E-2,-2.637821198E0
1.125160678E0,-4.579878151E-1,-2.551672459E-1,-2.693986893E0
1.129953178E0,-3.179140687E-1,-5.573513508E-1,-2.871117115E0
1.134745678E0,-2.868696153E-1,-8.621599674E-1,-3.068623543E0
1.139538178E0,-2.632979751E-1,-1.060086489E0,-3.298348904E0
1.144330678E0,-1.904875040E-1,-1.121415138E0,-3.414544106E0
1.149123178E0,-1.395140290E-1,-8.772878647E-1,-2.990336895E0
1.153915678E0,-3.958519697E-1,-2.268168926E-1,-2.026828766E0
1.158708178E0,-5.842271447E-1,2.580773830E-1,-1.190475464E0
1.163500678E0,-6.293076277E-1,6.194012165E-1,-4.375572205E-1
1.168293178E0,-7.530622482E-1,9.084665775E-1,2.945957184E-1
1.173085678E0,-8.675110340E-1,1.014354944E0,8.418464661E-1
1.177878178E0,-8.586618900E-1,9.118897915E-1,1.305203438E0
1.182670678E0,-7.431749105E-1,6.732587814E-1,1.580203056E0
1.187463230E0,-5.812519789E-1,3.392622471E-1,1.605543137E0
1.192255730E0,-3.304728568E-1,1.007819176E-2,1.336788177E0
1.197048230E0,-1.621100903E-1,-3.358054161E-1,8.511648178E-1
1.201840730E0,-5.124300718E-2,-5.241808891E-1,4.067325592E-1
1.206633230E0,-1.897284389E-2,-5.860786438E-1,3.875446320E-2
1.211425730E0,-1.966232061E-1,-6.970546246E-1,-3.609275818E-1
1.216218230E0,-3.601488471E-1,-9.458017349E-1,-8.143825531E-1
1.221010730E0,-4.806866646E-1,-9.002277851E-1,-9.043731689E-1
1.225803230E0,-8.075448275E-1,-7.288136482E-1,-1.058805466E0
1.230595730E0,-1.010436177E0,-5.874030590E-1,-1.127128601E0
1.235388230E0,-1.095150471E0,-4.741392136E-1,-9.260177612E-1
1.240180730E0,-1.178252935E0,-3.110642433E-1,-4.636096954E-1
1.244973230E0,-1.219021559E0,-1.683664322E-1,-3.162384033E-3
1.249765730E0,-1.200316906E0,-8.485388756E-2,3.408203125E-1
1.254558282E0,-1.163908601E0,-1.341295242E-2,6.212148666E-1
1.259350782E0,-1.119405627E0,7.353711128E-2,8.527765274E-1
1.264143282E0,-1.078273654E0,1.677815914E-1,9.906682968E-1
1.268935782E0,-1.017979503E0,1.873073578E-1,1.183400154E0
1.273728282E0,-9.276065826E-1,2.268927097E-1,1.371573448E0
1.278520782E0,-7.771893740E-1,1.481127739E-1,1.460044861E0
1.283313282E0,-6.464962959E-1,3.769564629E-2,1.468311310E0
1.288105782E0,-5.005390048E-1,-1.081321239E-1,1.501518250E0
1.292898282E0,-2.899147272E-1,-2.075338364E-1,1.609680176E0
1.297690782E0,-3.486716747E-2,-4.433267117E-1,1.637454033E0
1.302483282E0,2.460525036E-1,-6.948676109E-1,1.685070992E0
1.307275782E0,4.170553088E-1,-7.637085915E-1,1.821487427E0
1.312068282E0,4.046073556E-1,-7.527271509E-1,1.919936180E0
1.316860782E0,3.307570219E-1,-6.282973289E-1,1.916001320E0
1.321653282E0,2.718878090E-1,-4.356842041E-1,1.812289238E0
1.326445834E0,2.517023385E-1,-2.224569321E-1,1.723487854E0
1.331238334E0,2.730163336E-1,-1.928067207E-2,1.489704132E0
1.336030834E0,3.250172138E-1,1.027610302E-1,1.125696182E0
1.340823334E0,3.799578249E-1,4.714560509E-2,6.435794830E-1
1.345615834E0,3.022795320E-1,-1.270058155E-1,4.335594177E-2
1.350408334E0,3.071010113E-1,1.023411751E-2,-2.216386795E-1
1.355200834E0,2.439396083E-1,2.788431644E-1,-4.053239822E-1
1.359993334E0,1.679712832E-1,5.522711277E-1,-6.440124512E-1
1.364785834E0,2.006460130E-1,7.592382431E-1,-7.921714783E-1
1.369578334E0,2.239614427E-1,8.856685162E-1,-7.762432098E-1
1.374370834E0,2.877582908E-1,8.837232590E-1,-7.087554932E-1
1.379163334E0,4.397186339E-1,7.340006828E-1,-6.111030579E-1
1.383955834E0,6.151856184E-1,5.196979046E-1,-4.926843643E-1
1.388748334E0,7.281578779E-1,2.977914810E-1,-4.082727432E-1
1.393540834E0,8.550343513E-1,9.891200066E-2,-4.053297043E-1
1.398333334E0,8.599767089E-1,-6.084322929E-2,-4.214067459E-1
1.403125886E0,8.629280329E-1,-1.752383709E-1,-4.013271332E-1
1.407918386E0,8.065457940E-1,-2.354636192E-1,-3.975028992E-1
1.412710886E0,7.535909414E-1,-2.086875439E-1,-1.928462982E-1
1.417503386E0,6.373247504E-1,-1.190176010E-1,2.103519440E-2
1.422295886E0,4.724444151E-1,-2.617764473E-2,1.604566574E-1
1.427088386E0,3.051268160E-1,5.077242851E-2,2.231473923E-1
1.431880886E0,2.106580734E-1,3.117585182E-2,1.972398758E-1
1.436673386E0,7.904100418E-2,-3.618717194E-3,9.973335266E-2
1.441465886E0,-1.003319025E-2,1.821613312E-1,-1.524400711E-1
1.446258386E0,-7.134562731E-2,3.685224056E-1,-1.605091095E-1
1.451050886E0,-1.220540404E-1,4.698884487E-1,-1.447649002E-1
1.455843386E0,-1.047875881E-1,4.487631321E-1,-1.506576538E-1
1.460635886E0,-6.658113003E-2,3.416626453E-1,-1.971969604E-1
1.465428386E0,-1.456499398E-1,1.874551773E-1,-4.297008514E-1
1.470220886E0,-1.189019680E-1,6.280398369E-2,-6.661872864E-1
1.475013438E0,2.076791227E-1,5.092120171E-2,-5.463848114E-1
1.479805938E0,5.778030157E-1,8.206939697E-2,-3.790740967E-1
1.484598438E0,7.642266154E-1,1.203408241E-1,-3.123216629E-1
1.489390938E0,5.854079127E-1,1.541395187E-1,-3.220977783E-1
1.494183438E0,4.382904172E-1,1.452651024E-1,-2.531089783E-1
1.498975938E0,3.305094242E-1,1.152424812E-1,-2.200660706E-1
1.503768438E0,2.796059847E-1,8.067059517E-2,-2.514266968E-1
1.508560938E0,2.856939435E-1,-2.992320061E-2,-2.730789185E-1
1.513353438E0,3.169347048E-1,-1.730461121E-1,-1.826000214E-1
1.518145938E0,3.715943396E-1,-5.743513107E-1,-3.050365448E-1
1.522938438E0,2.842794061E-1,-3.535463810E-1,9.338378906E-3
1.527730938E0,1.986803561E-1,-8.798336983E-2,3.893852234E-2
1.532523491E0,1.032401472E-1,1.242091656E-1,1.778602600E-3
1.537315938E0,6.447502226E-2,2.713537216E-1,7.695960999E-2
1.542108491E0,1.005611196E-1,3.181965351E-1,2.163496017E-1
1.546900991E0,1.563041806E-1,2.723066807E-1,3.529481888E-1
1.551693491E0,2.278405279E-1,2.125997543E-1,3.651275635E-1
1.556485991E0,2.837830186E-1,1.006932259E-1,3.129444122E-1
1.561278491E0,3.590783179E-1,1.973986626E-2,3.255100250E-1
1.566070991E0,3.872152269E-1,-8.284211159E-2,4.002065659E-1
1.570863491E0,4.205972552E-1,-1.571946144E-1,4.772777557E-1
1.575655991E0,3.519840240E-1,-1.202864647E-1,5.377073288E-1
1.580448491E0,2.111820579E-1,-4.187679291E-2,5.457773209E-1
1.585240991E0,1.224782169E-1,-7.688045502E-2,4.585924149E-1
1.590033491E0,1.941108406E-1,-1.483702660E-1,5.292816162E-1
1.594825991E0,1.480181515E-1,-2.201774120E-1,5.044336319E-1
1.599618543E0,1.008419394E-1,-2.182545662E-1,4.010181427E-1
1.604410991E0,5.921748281E-2,-1.711208820E-1,2.669057846E-1
1.609203543E0,-1.321706176E-2,-8.354687691E-2,1.761283875E-1
1.613996043E0,-4.795822501E-2,-1.041269302E-2,1.190176010E-1
1.618788543E0,2.287358046E-2,1.792407036E-2,2.742938995E-1
1.623581043E0,9.001451731E-2,6.821703911E-2,1.403264999E-1
1.628373543E0,1.161125898E-1,1.064422131E-1,5.926036835E-2
1.633166043E0,1.372556388E-1,1.181159019E-1,7.632923126E-2
1.637958543E0,1.172917485E-1,9.135389328E-2,1.053838730E-1
1.642751043E0,4.157841206E-2,1.682639122E-2,1.797885895E-1
1.647543543E0,5.773329735E-2,-1.245117188E-2,2.613182068E-1
1.652336043E0,7.191917300E-2,7.331371307E-4,3.381357193E-1
1.657128543E0,1.245210767E-1,1.101398468E-2,3.887758255E-1
1.661921043E0,1.488174200E-1,1.099872589E-2,3.728218079E-1
1.666713543E0,1.241967678E-1,-2.072453499E-2,2.307624817E-1
1.671506095E0,7.700085640E-2,-1.726770401E-2,1.920337677E-1
1.676298595E0,9.018975496E-2,4.514908791E-2,1.323099136E-1
1.681091095E0,1.036213636E-1,9.010171890E-2,5.881881714E-2
1.685883595E0,1.338310838E-1,1.153879166E-1,3.840065002E-2
1.690676095E0,1.692702770E-1,1.402640343E-1,-3.103256226E-3
1.695468595E0,1.154194474E-1,1.291399002E-1,-1.802253723E-2
1.700261095E0,1.046872735E-1,1.346249580E-1,4.599571228E-2
1.705053595E0,1.449974775E-1,1.759123802E-1,5.976009369E-2
1.709846095E0,2.251401544E-1,1.814248562E-1,-3.159236908E-2
1.714638595E0,2.622402310E-1,2.281341553E-1,-1.110820770E-1
1.719431095E0,2.834116220E-1,2.544310093E-1,-1.837711334E-1
1.724223595E0,2.907512784E-1,2.394285202E-1,-2.641477585E-1
1.729016095E0,3.793486953E-1,1.931130886E-1,-3.451175690E-1
1.733808595E0,3.751544952E-1,1.633472443E-1,-4.219713211E-1
1.738601147E0,3.980783820E-1,1.736855507E-1,-4.588994980E-1
1.743393647E0,4.239873886E-1,1.450312138E-1,-4.702453613E-1
1.748186147E0,4.138542414E-1,1.248028278E-1,-3.532629013E-1
1.752978647E0,3.764831424E-1,8.859086037E-2,-2.202186584E-1
1.757771147E0,3.398579955E-1,6.467103958E-2,-1.115283966E-1
